prompt,response,quality_rating,criteria,human_rater
Write a bash script to find all files larger than 100MB in a directory,ls -la | grep 100MB,2,Is the bash script correct and does it handle edge cases?,alice
How do you mock dependencies in Python unit tests?,"Just use real databases in tests, mocking is too complicated.",1,Is mocking in Python explained correctly with practical examples?,alice
Explain AWS S3 and when to use it vs a database,S3 can only store images and videos.,2,Is the S3 vs database distinction explained correctly?,david
Explain SQL injection and how to prevent it,"SQL injection: user input inserted directly into SQL changes the query's logic.

Vulnerable:
query = f""SELECT * FROM users WHERE email = '{email}'""
# email = ' OR 1=1 --  → returns ALL users

Prevention:
1. Parameterized queries:
   cursor.execute('SELECT * FROM users WHERE email = %s', (email,))
2. ORM (SQLAlchemy, Django) — parameterizes automatically
3. Stored procedures
4. Input validation (allowlist)
5. Least privilege (DB user has only needed rights)",10,Is the SQL injection explanation correct with concrete prevention measures?,eve
What are the main HTTP methods and when should each be used?,"Idempotent: repeating the request has the same effect as one call.
GET, PUT, DELETE, HEAD — idempotent
POST, PATCH — not idempotent

Safe: no side effects.
GET, HEAD — safe
All others — not safe

Design rule: if operation is idempotent by nature, prefer PUT/DELETE over POST.",9,Are the HTTP methods described accurately with correct use cases?,eve
Explain WebSockets and when to use them over HTTP,"WebSocket vs alternatives:
WebSocket: true bidirectional, low latency, complex
SSE (Server-Sent Events): server → client only, simpler, HTTP/2 multiplexed, auto-reconnect
Long polling: HTTP, compatible everywhere, higher latency

Use SSE when server needs to push updates only (notifications, feeds).
Use WebSocket for interactive real-time (chat, games, collaborative editing).",8,Is the WebSocket explanation correct with appropriate use cases?,carol
What is the JavaScript event loop and how does it work?,"JS is single-threaded. The event loop allows async operations:

Call stack: where JS executes code (LIFO)
Web APIs: browser handles setTimeout, fetch, DOM events
Microtask queue: Promises, queueMicrotask (higher priority)
Macrotask queue (callback queue): setTimeout, setInterval

Loop: 1) Run call stack until empty 2) Drain microtask queue 3) One macrotask 4) Repeat",9,Is the event loop explained correctly with microtasks and macrotasks?,david
What is dependency injection and why is it useful?,Dependency injection is a way to import modules in Python.,3,Is dependency injection explained correctly with practical benefits?,bob
What is the JavaScript event loop and how does it work?,"setTimeout(fn, 0) runs the function immediately.",1,Is the event loop explained correctly with microtasks and macrotasks?,david
How do you mock dependencies in Python unit tests?,Use unittest.mock.patch to replace real dependencies with mock objects during tests.,6,Is mocking in Python explained correctly with practical examples?,carol
Explain Big O notation and why it matters,"Why it matters:
Algorithm A: O(n²), runs in 1 second for n=1000
Algorithm B: O(n log n), 100x slower constant, but:
  n=10,000: A takes 100s, B takes 1.3s
  n=1,000,000: A takes 11.5 days, B takes 20s

Constants matter at small n, complexity matters at large n.
Always think about the scale your code will operate at.",10,Is Big O explained correctly with common examples?,bob
Implement a LRU (Least Recently Used) cache in Python,"class LRUCache:
    def __init__(self, cap):
        self.cache = {}
        self.cap = cap
    def get(self, key): return self.cache.get(key, -1)
    def put(self, key, val): self.cache[key] = val  # no eviction",3,Is the LRU cache implemented correctly?,eve
Write a JavaScript function to deep clone an object,"Use Object.assign({}, obj) to deep clone an object.",1,Is the deep clone implementation correct and complete?,bob
Write a bash script to find all files larger than 100MB in a directory,"# One-liner version:
find . -type f -size +100M -ls 2>/dev/null | sort -k7 -rn

# With GNU find:
find . -type f -size +100M -printf '%s %p\n' | \
  numfmt --field=1 --to=iec | sort -rh",9,Is the bash script correct and does it handle edge cases?,david
Explain TCP vs UDP and when to use each,"When UDP is better:
- Real-time: small delay > lost packet (voice call, video game)
- Broadcasting: send to many without per-connection overhead
- DNS: single request/response, retry at application layer

Application-layer reliability over UDP:
QUIC (HTTP/3) implements reliable streams on top of UDP
— get reliability without TCP's head-of-line blocking.",10,Is the TCP/UDP distinction accurate with appropriate use cases?,alice
Explain Python's dataclasses and when to use them,"Dataclass vs NamedTuple vs Pydantic:

NamedTuple: immutable, tuple semantics
Dataclass: mutable by default, class-like
Pydantic BaseModel: validation, serialization, ideal for APIs

# Pydantic:
from pydantic import BaseModel
class User(BaseModel):
    id: int
    email: str  # validated as email format

For FastAPI request/response models: use Pydantic.
For internal data structures: use dataclass.",8,Are dataclasses explained correctly with practical comparison to plain classes?,david
Explain the difference between git merge and git rebase,"git merge creates a merge commit joining two branches, preserving full history.
Result: shows diverging branches clearly.

git rebase replays commits on top of target branch, creating linear history.
Result: clean linear log, but rewrites commit SHAs.

Golden rule: never rebase shared/public branches — rewrites history others depend on.",10,Is the distinction accurate with implications for history?,alice
How do you version a REST API and what are the tradeoffs?,"API versioning is only needed for public APIs, never internal ones.",1,Are API versioning strategies explained correctly?,bob
What is the JavaScript event loop and how does it work?,The event loop processes callbacks from the queue when the call stack is empty.,6,Is the event loop explained correctly with microtasks and macrotasks?,carol
What is a binary search tree and what are its time complexities?,A binary search tree sorts all elements and search is always O(1).,1,Is the BST explained correctly with accurate time complexity?,alice
What is Python's GIL and how does it affect multithreading?,Python doesn't support multithreading because of the GIL.,3,Is the GIL explained correctly with practical implications?,alice
Write an async JavaScript function to fetch data from an API,Use XMLHttpRequest to fetch data from an API in JavaScript.,3,Is the async/await usage correct and does it handle errors?,eve
What are pytest fixtures and how do you use them?,"autouse fixture (applies to all tests in scope):
@pytest.fixture(autouse=True)
def reset_cache():
    cache.clear()
    yield
    cache.clear()

conftest.py: shared fixtures across test files.
(place fixtures in conftest.py to make them available project-wide)",9,Are pytest fixtures explained correctly with scope and yielding?,alice
What is Python's GIL and how does it affect multithreading?,Python threads share the GIL so they can't run in parallel. asyncio or multiprocessing are alternatives.,5,Is the GIL explained correctly with practical implications?,bob
Explain microservices vs monolithic architecture,Microservices are better for large applications because you can scale and deploy parts independently.,5,Is the comparison accurate with honest tradeoffs?,carol
How do you mock dependencies in Python unit tests?,"Use unittest.mock.patch to replace dependencies during tests:

from unittest.mock import patch, MagicMock

def test_send_email():
    with patch('myapp.email.smtplib.SMTP') as mock_smtp:
        mock_smtp.return_value.__enter__.return_value.sendmail = MagicMock()
        result = send_email('user@example.com', 'Hello')
        assert result is True
        mock_smtp.assert_called_once()",9,Is mocking in Python explained correctly with practical examples?,david
How does Python handle imports and what is the module system?,"Circular imports: module A imports B which imports A → ImportError.

Fix strategies:
1. Restructure to remove cycle
2. Move import inside function (lazy import)
3. Import at bottom of file

__all__ controls 'from module import *':
__all__ = ['PublicClass', 'public_function']
# private_function not exposed",8,Is Python's import system explained correctly?,david
