conversation_id,model_a,model_b,winner,language,timestamp,tokens_in,tokens_out,latency_ms,cost_usd
lmsys_0000000,gpt-4,gemini-pro,model_a,Spanish,2026-05-24T01:33:50.238241Z,360,891,317,0.00376
lmsys_0000001,gpt-4-turbo,llama-2-70b,tie,English,2026-05-19T03:00:14.238241Z,927,461,1669,1.3e-05
lmsys_0000002,davinci-003,gpt-3.5-turbo,tie,Japanese,2026-06-08T19:23:30.238241Z,1677,984,560,0.002019
lmsys_0000003,gpt-4,gemini-pro,model_a,English,2026-05-19T10:14:10.238241Z,1116,734,548,0.005595
lmsys_0000004,claude-3-opus,gpt-4-turbo,model_b,Spanish,2026-06-06T05:07:28.238241Z,43,256,491,0.00189
lmsys_0000005,palm-2,mistral-large,tie,German,2026-06-08T21:39:09.238241Z,1059,347,963,8.9e-05
lmsys_0000006,gpt-4,gemini-pro,tie,German,2026-05-24T14:24:35.238241Z,1152,211,792,0.002868
lmsys_0000007,claude-3-5-sonnet,llama-2-70b,model_b,French,2026-05-25T13:37:18.238241Z,711,841,789,6.5e-05
lmsys_0000008,gpt-3.5-turbo,gpt-4,tie,English,2026-05-31T00:46:04.238241Z,510,628,199,0.001627
lmsys_0000009,claude-3-5-sonnet,gpt-4-turbo,model_a,English,2026-06-10T16:41:03.238241Z,1623,56,558,0.001395
lmsys_0000010,davinci-003,claude-3-opus,model_a,Japanese,2026-05-17T11:37:56.238241Z,1756,1480,533,0.002262
lmsys_0000011,claude-3-opus,gemini-pro,model_b,German,2026-05-21T15:49:29.238241Z,1272,981,443,0.001447
lmsys_0000012,gpt-4,gpt-3.5-turbo,tie,Spanish,2026-05-25T19:39:37.238241Z,614,1192,221,0.001908
lmsys_0000013,palm-2,llama-2-70b,tie,English,2026-05-22T05:14:08.238241Z,561,1399,1970,3.4e-05
lmsys_0000014,gpt-3.5-turbo,claude-3-opus,tie,Japanese,2026-06-02T20:07:04.238241Z,794,1268,190,0.000518
lmsys_0000015,llama-2-70b,claude-3-opus,model_a,English,2026-05-28T19:49:45.238241Z,1523,488,1806,6.7e-05
lmsys_0000016,gemini-pro,gpt-4-turbo,model_b,German,2026-06-07T05:19:51.238241Z,846,1252,589,0.002534
lmsys_0000017,llama-2-70b,claude-3-opus,tie,Chinese,2026-05-22T06:06:12.238241Z,299,1398,1478,8.7e-05
lmsys_0000018,claude-3-opus,gpt-4,model_a,French,2026-05-29T21:07:58.238241Z,404,1419,670,0.005921
lmsys_0000019,gpt-4,claude-3-5-sonnet,model_a,French,2026-05-16T17:39:32.238241Z,1930,997,600,0.005171
lmsys_0000020,davinci-003,mistral-large,tie,Spanish,2026-06-03T12:13:42.238241Z,1520,102,851,3.8e-05
lmsys_0000021,claude-3-5-sonnet,mistral-large,model_b,Spanish,2026-05-18T12:28:03.238241Z,135,127,995,6.9e-05
lmsys_0000022,claude-3-5-sonnet,gpt-4,tie,Spanish,2026-05-27T14:34:41.238241Z,57,924,300,0.004844
lmsys_0000023,mistral-large,gpt-4-turbo,model_a,German,2026-06-03T04:28:21.238241Z,630,801,574,5.3e-05
lmsys_0000024,llama-2-70b,claude-3-5-sonnet,tie,Japanese,2026-06-05T14:55:24.238241Z,1839,359,445,0.002479
lmsys_0000025,gpt-4,gpt-4-turbo,model_a,French,2026-05-25T00:55:57.238241Z,1822,690,407,0.008383
lmsys_0000026,gpt-4,palm-2,tie,English,2026-05-23T07:47:15.238241Z,57,973,619,0.003373
lmsys_0000027,davinci-003,gpt-3.5-turbo,model_b,Spanish,2026-06-05T13:11:55.238241Z,1785,715,165,0.001346
lmsys_0000028,gemini-pro,llama-2-70b,model_b,English,2026-05-31T13:08:19.238241Z,685,1371,1542,3.7e-05
lmsys_0000029,llama-2-70b,mistral-large,model_b,Spanish,2026-06-07T02:46:58.238241Z,1352,634,832,4.5e-05
lmsys_0000030,palm-2,claude-3-opus,model_b,German,2026-05-15T23:31:19.238241Z,1590,485,787,0.002615
lmsys_0000031,llama-2-70b,mistral-large,model_a,English,2026-05-24T11:40:23.238241Z,467,931,1978,2e-06
lmsys_0000032,mistral-large,claude-3-opus,tie,German,2026-05-19T12:35:23.238241Z,618,697,1023,9e-06
lmsys_0000033,llama-2-70b,claude-3-5-sonnet,model_a,Spanish,2026-05-19T04:54:23.238241Z,508,332,1359,4.2e-05
lmsys_0000034,gpt-4,mistral-large,model_a,Spanish,2026-05-17T20:19:27.238241Z,584,755,502,0.005797
lmsys_0000035,gpt-4,mistral-large,model_a,Japanese,2026-06-09T19:33:51.238241Z,518,122,425,0.003612
lmsys_0000036,llama-2-70b,claude-3-5-sonnet,tie,Chinese,2026-05-30T18:49:33.238241Z,1480,1179,1254,5.5e-05
lmsys_0000037,gemini-pro,gpt-4,model_b,German,2026-06-01T13:53:16.238241Z,924,864,506,0.007869
lmsys_0000038,palm-2,gpt-3.5-turbo,model_b,Spanish,2026-06-01T09:43:19.238241Z,881,62,208,0.001815
lmsys_0000039,mistral-large,palm-2,model_a,German,2026-06-09T08:01:40.238241Z,597,1369,1224,4.1e-05
lmsys_0000040,gpt-4-turbo,davinci-003,tie,English,2026-05-26T19:08:21.238241Z,1786,761,400,0.004264
lmsys_0000041,palm-2,claude-3-5-sonnet,tie,French,2026-05-13T17:28:15.238241Z,1415,937,772,0.001751
lmsys_0000042,claude-3-5-sonnet,gemini-pro,tie,Chinese,2026-05-20T11:25:42.238241Z,678,55,633,0.004514
lmsys_0000043,llama-2-70b,gpt-4-turbo,tie,Spanish,2026-05-31T07:02:58.238241Z,536,706,517,0.001418
lmsys_0000044,llama-2-70b,mistral-large,model_b,Japanese,2026-06-05T20:20:37.238241Z,1837,858,595,1.1e-05
lmsys_0000045,claude-3-5-sonnet,claude-3-opus,model_b,English,2026-05-21T07:52:13.238241Z,1023,1105,406,0.004159
lmsys_0000046,claude-3-5-sonnet,gpt-3.5-turbo,model_a,Spanish,2026-06-08T22:44:49.238241Z,1461,1444,325,0.002737
lmsys_0000047,palm-2,davinci-003,model_b,German,2026-05-21T02:20:16.238241Z,456,1116,315,0.001081
lmsys_0000048,mistral-large,gpt-4-turbo,model_b,Spanish,2026-05-17T22:25:40.238241Z,1894,287,410,0.002559
lmsys_0000049,claude-3-5-sonnet,gemini-pro,model_a,English,2026-05-30T16:07:05.238241Z,1699,594,308,0.00315
lmsys_0000050,claude-3-opus,gemini-pro,tie,French,2026-05-26T08:24:33.238241Z,1319,131,718,0.001252
lmsys_0000051,mistral-large,gemini-pro,model_a,Japanese,2026-05-19T15:05:44.238241Z,1972,764,675,7.9e-05
lmsys_0000052,gpt-4,claude-3-opus,model_a,Japanese,2026-06-08T20:43:27.238241Z,1423,522,505,0.00915
lmsys_0000053,gpt-4,mistral-large,model_a,English,2026-05-20T20:32:35.238241Z,504,1402,483,0.003813
lmsys_0000054,gpt-3.5-turbo,llama-2-70b,model_b,German,2026-05-17T23:26:35.238241Z,1475,825,1360,3.1e-05
lmsys_0000055,claude-3-5-sonnet,gpt-4,tie,Japanese,2026-05-18T08:02:27.238241Z,1958,1465,786,0.001577
lmsys_0000056,gpt-3.5-turbo,mistral-large,tie,English,2026-05-19T12:05:07.238241Z,356,262,1465,3.5e-05
lmsys_0000057,mistral-large,palm-2,model_a,Spanish,2026-06-05T14:05:09.238241Z,1823,237,1029,8.1e-05
lmsys_0000058,davinci-003,gpt-3.5-turbo,model_a,Japanese,2026-05-28T17:42:46.238241Z,766,786,604,0.002431
lmsys_0000059,claude-3-opus,palm-2,tie,Japanese,2026-05-22T13:59:14.238241Z,236,1316,660,0.005218
lmsys_0000060,mistral-large,palm-2,model_a,Japanese,2026-05-27T18:16:10.238241Z,1382,535,813,6.9e-05
lmsys_0000061,claude-3-5-sonnet,davinci-003,tie,English,2026-06-10T17:26:44.238241Z,1381,1291,255,0.001177
lmsys_0000062,claude-3-opus,gemini-pro,model_b,French,2026-06-09T06:38:33.238241Z,1426,135,562,0.000666
lmsys_0000063,mistral-large,llama-2-70b,model_a,Japanese,2026-05-15T06:43:27.238241Z,1625,903,604,2e-06
lmsys_0000064,llama-2-70b,gpt-3.5-turbo,tie,French,2026-05-21T18:06:51.238241Z,47,239,878,6e-05
